route_idx,route_progress_m,x,y,z,yaw_deg,road_option,road_id,section_id,lane_id,waypoint_s,lane_width_m,is_junction,junction_id
66,124.40725777866201,94.38093566894531,-41.223384857177734,0.0,58.2786865234375,LANEFOLLOW,10,0,2,22.401560418077242,3.5,False,
67,126.14065884441004,95.254638671875,-39.726280212402344,0.0,61.18617248535156,LANEFOLLOW,10,0,2,20.401560418077246,3.5,False,
68,127.87405807575978,96.05126953125,-38.18678283691406,0.0,64.09366607666016,LANEFOLLOW,10,0,2,18.40156041807725,3.5,False,
69,129.60745871395002,96.76879119873047,-36.60886001586914,0.0,67.00115966796875,LANEFOLLOW,10,0,2,16.401560418077253,3.5,False,
70,131.34086039270142,97.40535736083984,-34.99657440185547,0.0,69.90864562988281,LANEFOLLOW,10,0,2,14.401560418077255,3.5,False,
71,133.07426611531764,97.9593276977539,-33.35407257080078,0.0,72.8161392211914,LANEFOLLOW,10,0,2,12.401560418077256,3.5,False,
72,134.80766216033592,98.42926025390625,-31.685592651367188,0.0,75.7236328125,LANEFOLLOW,10,0,2,10.401560418077258,3.5,False,
73,136.54106706591108,98.81396484375,-29.99541664123535,0.0,78.63111877441406,LANEFOLLOW,10,0,2,8.40156041807726,3.5,False,
74,138.27446674564803,99.11243438720703,-28.287906646728516,0.0,81.53861236572266,LANEFOLLOW,10,0,2,6.401560418077262,3.5,False,
75,140.00786885548808,99.32391357421875,-26.567453384399414,0.0,84.44610595703125,LANEFOLLOW,10,0,2,4.401560418077263,3.5,False,
76,141.7412711746061,99.4478530883789,-24.83848762512207,0.0,87.35359191894531,LANEFOLLOW,10,0,2,2.4015604180772656,3.5,False,
77,143.8226135039207,99.4805679321289,-22.757402420043945,0.0,90.8448486328125,LANEFOLLOW,0,0,2,13.31025369358758,3.5,False,
78,143.8226135039207,99.4805679321289,-22.757402420043945,0.0,90.8448486328125,LANEFOLLOW,0,0,2,13.31025369358758,3.5,False,
79,145.85011228352246,99.45565032958984,-20.730056762695312,0.0,450.544677734375,LANEFOLLOW,0,0,2,11.310253693587581,3.5,False,
80,147.87953501235503,99.44202423095703,-18.700679779052734,0.0,450.2235412597656,LANEFOLLOW,0,0,2,9.310253693587583,3.5,False,
81,149.90895518043538,99.4397964477539,-16.671260833740234,0.0,449.9024658203125,LANEFOLLOW,0,0,2,7.310253693587585,3.5,False,
82,151.91161648752694,99.44584655761719,-14.668608665466309,0.0,89.87342071533203,LANEFOLLOW,0,0,2,5.310253693587587,3.5,False,
83,153.89061566989204,99.4462661743164,-12.68960952758789,0.0,90.10260009765625,LANEFOLLOW,0,0,2,3.310253693587589,3.5,False,
84,157.1748760430906,99.43012237548828,-9.405388832092285,0.0,90.3907470703125,LANEFOLLOW,3,0,2,4.908388077782866,3.5,False,
85,157.1748760430906,99.43012237548828,-9.405388832092285,0.0,90.3907470703125,LANEFOLLOW,3,0,2,4.908388077782866,3.5,False,
86,159.17487631207914,99.4164810180664,-7.405435085296631,0.0,90.3907470703125,LANEFOLLOW,3,0,2,2.908388077782868,3.5,False,
87,162.08326438617613,99.39664459228516,-4.497114658355713,0.0,-269.6092224121094,LANEFOLLOW,655,0,1,31.11973961824867,3.5,True,532
88,162.08326438617613,99.39664459228516,-4.497114658355713,0.0,-269.6092224121094,RIGHT,655,0,1,31.11973961824867,3.5,True,532
89,164.0828492876289,99.38301086425781,-2.4975762367248535,0.0,90.3907470703125,RIGHT,655,0,1,29.119739618248673,3.5,True,532
90,166.08284922879955,99.36936950683594,-0.4976228177547455,0.0,90.3907470703125,RIGHT,655,0,1,27.119739618248676,3.5,True,532
91,167.9888422303168,99.33965301513672,1.4081385135650635,0.0,93.4612045288086,RIGHT,655,0,1,25.11973961824868,3.5,True,532
92,169.72594356763992,99.10575103759766,3.129420280456543,0.0,102.01576232910156,RIGHT,655,0,1,23.119739618248683,3.5,True,532
93,171.4630446823261,98.618408203125,4.796758651733398,0.0,110.5703125,RIGHT,655,0,1,21.119739618248687,3.5,True,532
94,173.20014698450592,97.88846588134766,6.373054504394531,0.0,119.12486267089844,RIGHT,655,0,1,19.11973961824869,3.5,True,532
95,174.93724619351823,96.93217468261719,7.8232340812683105,0.0,127.67941284179688,RIGHT,655,0,1,17.119739618248694,3.5,True,532
96,176.67435121877583,95.77079772949219,9.115030288696289,0.0,136.23397827148438,RIGHT,655,0,1,15.119739618248696,3.5,True,532
97,178.43809261790676,94.412109375,10.239641189575195,0.0,-216.07614135742188,RIGHT,655,0,1,13.119739618248698,3.5,True,532
98,180.2462529019394,92.89480590820312,11.223121643066406,0.0,-209.82455444335938,RIGHT,655,0,1,11.1197396182487,3.5,True,532
